ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-let-7b:MI0000063:Homo:sapiens:let-7b:stem-loop	5	63	63.0	0.0
hsa-let-7a-3:MI0000062:Homo:sapiens:let-7a-3:stem-loop	1	14	7.0	0.0
hsa-let-7a-1:MI0000060:Homo:sapiens:let-7a-1:stem-loop	1	14	7.0	0.0
hsa-let-7f-1:MI0000067:Homo:sapiens:let-7f-1:stem-loop	2	6	6.0	0.0
hsa-mir-181a-2:MI0000269:Homo:sapiens:miR-181a-2:stem-loop	1	3	3.0	0.0
hsa-mir-610:MI0003623:Homo:sapiens:miR-610:stem-loop	2	2	2.0	0.0
hsa-mir-2116:MI0010635:Homo:sapiens:miR-2116:stem-loop	2	2	2.0	0.0
hsa-mir-219a-1:MI0000296:Homo:sapiens:miR-219a-1:stem-loop	1	2	2.0	0.0
hsa-mir-934:MI0005756:Homo:sapiens:miR-934:stem-loop	1	2	2.0	0.0
hsa-mir-3925:MI0016433:Homo:sapiens:miR-3925:stem-loop	1	1	1.0	0.0
hsa-mir-4671:MI0017302:Homo:sapiens:miR-4671:stem-loop	1	1	1.0	0.0
hsa-mir-1294:MI0006356:Homo:sapiens:miR-1294:stem-loop	1	1	1.0	0.0
hsa-mir-6087:MI0020364:Homo:sapiens:miR-6087:stem-loop	1	1	1.0	0.0
hsa-mir-4672:MI0017303:Homo:sapiens:miR-4672:stem-loop	1	1	1.0	0.0
hsa-mir-891a:MI0005524:Homo:sapiens:miR-891a:stem-loop	1	1	1.0	0.0
hsa-mir-10a:MI0000266:Homo:sapiens:miR-10a:stem-loop	1	1	1.0	0.0
hsa-mir-3152:MI0014179:Homo:sapiens:miR-3152:stem-loop	1	1	1.0	0.0
hsa-mir-4444-2:MI0019111:Homo:sapiens:miR-4444-2:stem-loop	1	1	0.5	0.0
hsa-mir-4444-1:MI0016787:Homo:sapiens:miR-4444-1:stem-loop	1	1	0.5	0.0
