ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ENST00000367627.3:protein_coding:TOR3A-001	69	2424	2424.0	0.0
ENST00000265634.3:protein_coding:NPTX2-001	84	2307	2285.5	0.0
ENST00000361681.2:protein_coding:MT-ND6-201	991	1499	1274.3333333333335	0.0
ENST00000361567.2:protein_coding:MT-ND5-201	891	1140	970.0547619047626	0.0
ENST00000467525.1:nonsense_mediated_decay:FCGR2A-018	127	618	616.5	0.0
ENST00000361453.3:protein_coding:MT-ND2-201	547	1149	582.1428571428571	0.0
ENST00000457540.1:unprocessed_pseudogene:MTND2P28-001	530	1132	565.6428571428571	0.0
ENST00000387347.2:Mt_rRNA:MT-RNR2-201	440	655	500.75912698412685	0.0
ENST00000569858.1:antisense:RP11-72I8.1-001	100	433	433.0	0.0
ENST00000361624.2:protein_coding:MT-CO1-201	449	813	421.72619047619037	0.0
ENST00000607520.1:retained_intron:SCARNA15-001	41	419	419.0	0.0
ENST00000361789.2:protein_coding:MT-CYB-201	342	433	380.4666666666667	0.0
ENST00000361739.1:protein_coding:MT-CO2-201	275	452	377.66666666666646	0.0
ENST00000442944.2:protein_coding:HMBS-025	18	369	366.2833333333333	0.0
ENST00000362079.2:protein_coding:MT-CO3-201	293	631	360.561111111111	0.0
ENST00000414273.1:unprocessed_pseudogene:hsa-mir-6723.1-001	374	728	349.1095238095237	0.0
ENST00000526028.1:protein_coding:HYLS1-003	38	342	342.0	0.0
ENST00000437270.1:processed_pseudogene:SETP5-001	33	304	304.0	0.0
ENST00000361381.2:protein_coding:MT-ND4-201	350	415	298.05555555555554	0.0
ENST00000499459.2:antisense:CTD-2366F13.1-002	14	280	280.0	0.0
ENST00000361390.2:protein_coding:MT-ND1-201	244	295	254.06666666666666	0.0
ENST00000431156.2:protein_coding:TTI2-001	154	254	254.0	0.0
ENST00000416718.2:unprocessed_pseudogene:RP5-857K21.11-001	196	514	248.89444444444453	0.0
ENST00000395715.3:protein_coding:TRPS1-001	34	258	236.5	0.0
ENST00000361335.1:protein_coding:MT-ND4L-201	151	244	235.75000000000003	0.0
ENST00000387461.2:Mt_tRNA:MT-TP-201	127	215	215.0	0.0
ENST00000290894.8:protein_coding:SHF-001	34	203	197.75	0.0
ENST00000387460.2:Mt_tRNA:MT-TT-201	93	191	191.0	0.0
ENST00000580984.1:lincRNA:RP11-958F21.1-002	14	363	181.5	0.0
ENST00000582697.1:lincRNA:RP11-958F21.1-001	14	363	181.5	0.0
ENST00000506002.1:processed_pseudogene:MTND6P4-001	268	383	176.66666666666686	0.0
ENST00000528170.1:protein_coding:MS4A15-003	9	175	175.0	0.0
ENST00000581869.1:processed_transcript:ZNF521-014	20	187	171.0	0.0
ENST00000387459.1:Mt_tRNA:MT-TE-201	99	158	158.0	0.0
ENST00000244333.3:protein_coding:LYPD3-001	13	141	137.5	0.0
ENST00000511037.1:processed_pseudogene:MTND5P11-001	240	277	135.83333333333334	0.0
ENST00000601070.1:protein_coding:ZIM2-004	21	949	135.27838827838823	0.0
ENST00000593711.1:protein_coding:ZIM2-002	21	949	135.27838827838823	0.0
ENST00000391708.3:protein_coding:ZIM2-202	21	949	135.27838827838823	0.0
ENST00000597281.1:nonsense_mediated_decay:ZIM2-003	21	949	135.27838827838823	0.0
ENST00000599935.1:protein_coding:ZIM2-005	21	949	135.27838827838823	0.0
ENST00000221722.5:protein_coding:ZIM2-201	21	949	135.27838827838823	0.0
ENST00000595671.1:nonsense_mediated_decay:ZIM2-001	21	949	135.27838827838823	0.0
ENST00000416982.1:lincRNA:AC073236.3-001	54	335	131.99999999999997	0.0
ENST00000597346.1:antisense:KCNQ1OT1-001	200	218	123.38650793650797	0.0
ENST00000387392.1:Mt_tRNA:MT-TA-201	65	117	116.5	0.0
ENST00000453187.1:lincRNA:AC073236.3-002	34	313	112.49999999999999	0.0
ENST00000361899.2:protein_coding:MT-ATP6-201	141	167	109.0	0.0
ENST00000550103.2:processed_transcript:EFCAB11-012	33	101	98.5	0.0
ENST00000361227.2:protein_coding:MT-ND3-201	90	103	98.5	0.0
ENST00000420058.1:antisense:NFE4-001	24	271	94.99999999999999	0.0
ENST00000389680.2:Mt_rRNA:MT-RNR1-201	63	93	93.0	0.0
ENST00000498999.2:processed_pseudogene:MTND4P12-001	153	178	92.86111111111113	0.0
ENST00000300571.2:protein_coding:GPRC5B-001	26	91	91.0	0.0
ENST00000574871.1:retained_intron:MINK1-008	24	182	91.0	0.0
ENST00000575511.1:retained_intron:MINK1-013	23	181	90.5	0.0
ENST00000343280.4:protein_coding:ZNF772-001	22	214	89.12222222222225	0.0
ENST00000427512.2:protein_coding:ZNF772-002	22	214	89.12222222222225	0.0
ENST00000568177.1:antisense:RP11-600F24.7-001	19	89	89.0	0.0
ENST00000445593.2:protein_coding:LAPTM4B-001	10	85	85.0	0.0
ENST00000374586.3:protein_coding:TMEM245-001	27	101	85.0	0.0
ENST00000574616.1:sense_intronic:RP11-473I1.10-001	41	83	83.0	0.0
ENST00000562167.1:lincRNA:AC011525.2-001	9	80	79.125	0.0
ENST00000489697.1:processed_transcript:RAI1-004	8	82	78.0	0.0
ENST00000387372.1:Mt_tRNA:MT-TQ-201	33	72	72.0	0.0
ENST00000563963.1:retained_intron:TUBGCP4-004	13	72	72.0	0.0
ENST00000386347.1:Mt_tRNA:MT-TL1-201	52	68	68.0	0.0
ENST00000451672.1:protein_coding:GVQW1-001	7	66	66.0	0.0
ENST00000371000.1:protein_coding:IL12RB2-201	38	318	64.20000000000003	0.0
ENST00000262345.1:protein_coding:IL12RB2-001	38	318	64.20000000000003	0.0
ENST00000444624.1:antisense:RP5-998N21.7-002	35	64	63.5	0.0
ENST00000465396.1:processed_transcript:IL12RB2-003	36	316	63.20000000000003	0.0
ENST00000541374.1:protein_coding:IL12RB2-202	36	316	63.20000000000003	0.0
ENST00000544434.1:protein_coding:IL12RB2-203	36	316	63.20000000000003	0.0
ENST00000561320.1:lincRNA:RP11-346D14.1-001	112	127	60.61230158730161	0.0
ENST00000427426.1:unprocessed_pseudogene:RP5-857K21.7-001	110	133	59.166666666666686	0.0
ENST00000552892.1:retained_intron:PPP1R12A-007	5	58	58.0	0.0
ENST00000604411.1:lincRNA:TSIX-001	53	62	56.36666666666667	0.0
ENST00000481418.1:processed_transcript:PHF14-010	8	112	56.0	0.0
ENST00000416613.1:protein_coding:KTN1-203	12	56	56.0	0.0
ENST00000403050.3:protein_coding:PHF14-001	8	112	56.0	0.0
ENST00000599895.1:retained_intron:TMEM147-009	6	112	55.611111111111114	0.0
ENST00000595467.1:retained_intron:TMEM147-006	6	112	55.611111111111114	0.0
ENST00000541682.2:protein_coding:HES7-001	31	54	54.0	0.0
ENST00000284000.4:protein_coding:CEBPG-001	19	54	54.0	0.0
ENST00000514057.1:unprocessed_pseudogene:MTATP6P1-001	92	109	53.83333333333333	0.0
ENST00000610020.1:protein_coding:RPAP2-001	83	97	52.652777777777786	0.0
ENST00000466544.1:nonsense_mediated_decay:RNFT1-003	33	409	51.333333333333336	0.0
ENST00000305783.8:protein_coding:RNFT1-001	33	409	51.333333333333336	0.0
ENST00000482446.1:nonsense_mediated_decay:RNFT1-002	33	409	51.333333333333336	0.0
ENST00000589113.1:protein_coding:RNFT1-007	32	408	51.0	0.0
ENST00000587125.1:lincRNA:TBC1D3P1-DHX40P1-001	32	408	51.0	0.0
ENST00000477207.1:retained_intron:RNFT1-004	32	408	51.0	0.0
ENST00000222753.4:protein_coding:HOXA13-001	18	51	51.0	0.0
ENST00000442346.2:protein_coding:RNFT1-201	32	408	51.0	0.0
ENST00000586083.1:retained_intron:RNFT1-008	32	408	51.0	0.0
ENST00000435020.1:processed_pseudogene:RPS28P8-001	8	51	51.0	0.0
ENST00000520612.1:processed_pseudogene:MTND6P3-001	112	168	50.16666666666669	0.0
