ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ENST00000364228.1:misc_RNA:RNY1-201	2617	722931	654330.0650473477	0.0
ENST00000516507.1:misc_RNA:RNY4-201	3549	833910	189318.76895301905	0.0
ENST00000365571.1:misc_RNA:RNY4P10-201	3255	832676	189119.93414436368	0.0
ENST00000364908.1:misc_RNA:Y_RNA.320-201	2860	809860	178061.0699155334	0.0
ENST00000364600.1:misc_RNA:RNY4P7-201	2603	801183	175439.40164953965	0.0
ENST00000516678.1:misc_RNA:RNY4P20-201	1655	375910	71373.73710733683	0.0
ENST00000516501.1:misc_RNA:RNY5-201	1093	17366	17224.666666666657	0.0
ENST00000363341.1:misc_RNA:RNY4P27-201	1456	50986	9871.644835468047	0.0
ENST00000366365.2:lincRNA:LINC00338-002	277	17008	8623.416666666672	0.0
ENST00000515981.1:snoRNA:LINC00338-201	245	16491	8106.416666666663	0.0
ENST00000364948.1:misc_RNA:RNY4P17-201	326	41096	7672.818545798071	0.0
ENST00000411069.1:snRNA:RNU2-61P-201	811	48680	7519.356228738572	0.0
ENST00000410695.1:snRNA:RNU2-37P-201	765	48580	7493.565508347852	0.0
ENST00000410694.1:snRNA:RNU2-48P-201	672	46726	6958.906210430422	0.0
ENST00000410344.1:snRNA:RNU2-33P-201	605	46454	6938.4510339333765	0.0
ENST00000410794.1:snRNA:RNU2-7P-201	566	46359	6916.968555300898	0.0
ENST00000384511.1:misc_RNA:Y_RNA.556-201	148	34380	6840.549451223725	0.0
ENST00000363867.1:misc_RNA:Y_RNA.196-201	98	34203	6826.87896646119	0.0
ENST00000384184.1:misc_RNA:Y_RNA.488-201	98	34233	6804.621271301163	0.0
ENST00000362602.1:misc_RNA:Y_RNA.40-201	99	34232	6803.708572888466	0.0
ENST00000364473.1:misc_RNA:Y_RNA.264-201	145	13407	6471.133333333331	0.0
ENST00000411404.1:snRNA:RNU2-6P-201	329	28907	4199.739029202654	0.0
ENST00000516659.1:snRNA:RNU2-57P-201	563	25307	3398.585654868014	0.0
ENST00000410508.1:snRNA:RNU2-26P-201	563	25307	3398.585654868014	0.0
ENST00000363781.1:misc_RNA:Y_RNA.188-201	375	10564	2830.2172619047615	0.0
ENST00000365202.1:misc_RNA:Y_RNA.358-201	89	3095	2614.9699927309925	0.0
ENST00000364308.1:misc_RNA:Y_RNA.245-201	178	11372	2550.9376878562284	0.0
ENST00000363640.1:misc_RNA:RNY4P2-201	254	6020	2311.7311188811186	0.0
ENST00000362375.1:misc_RNA:Y_RNA.13-201	423	5313	2242.5287427849944	0.0
ENST00000362554.1:misc_RNA:Y_RNA.31-201	291	16958	2156.471719310512	0.0
ENST00000602478.1:lincRNA:RNU12-001	316	4264	2131.5	0.0
ENST00000284727.4:protein_coding:ATP5G3-001	191	15438	2127.1996383505293	0.0
ENST00000362512.1:snRNA:RNU12-201	314	4259	2126.5	0.0
ENST00000363251.1:misc_RNA:Y_RNA.121-201	182	15410	2116.2806728332885	0.0
ENST00000363331.1:misc_RNA:Y_RNA.133-201	74	2403	2108.129077723044	0.0
ENST00000363656.1:misc_RNA:RNY4P14-201	119	14527	2105.0389971139975	0.0
ENST00000362911.1:misc_RNA:Y_RNA.79-201	106	14494	2094.1223304473306	0.0
ENST00000365403.1:misc_RNA:Y_RNA.383-201	182	5107	1956.4373015873011	0.0
ENST00000554988.1:antisense:RPPH1-001	390	2344	1841.0	0.0
ENST00000364535.1:misc_RNA:Y_RNA.272-201	364	7115	1683.989488289487	0.0
ENST00000335648.3:protein_coding:C1orf213-201	364	7115	1683.989488289487	0.0
ENST00000602361.1:lincRNA:RMRP-001	395	2952	1584.8333333333333	0.0
ENST00000410423.1:snRNA:RNU2-29P-201	295	11240	1421.595070452423	0.0
ENST00000364886.1:misc_RNA:Y_RNA.318-201	83	3487	1396.2584505772006	0.0
ENST00000363046.1:misc_RNA:RMRP-201	352	2734	1366.8333333333333	0.0
ENST00000365208.1:misc_RNA:Y_RNA.359-201	122	2802	1348.8179653679656	0.0
ENST00000362645.1:misc_RNA:Y_RNA.44-201	256	9285	1341.0636224886223	0.0
ENST00000363257.1:misc_RNA:Y_RNA.122-201	171	2739	1218.8510499844656	0.0
ENST00000516445.1:misc_RNA:Y_RNA.759-201	112	3243	1208.7833333333328	0.0
ENST00000365672.1:misc_RNA:Y_RNA.420-201	93	2190	1191.5124999999996	0.0
ENST00000363020.1:misc_RNA:Y_RNA.91-201	75	6740	1110.8328662781769	0.0
ENST00000365402.1:misc_RNA:Y_RNA.382-201	55	6610	1098.7306637806641	0.0
ENST00000516548.1:misc_RNA:Y_RNA.764-201	51	6606	1097.8751082251085	0.0
ENST00000516950.1:misc_RNA:Y_RNA.790-201	179	1876	1047.4545114912353	0.0
ENST00000362330.1:misc_RNA:Y_RNA.3-201	225	2284	998.7501891469134	0.0
ENST00000362714.1:misc_RNA:Y_RNA.53-201	80	1935	950.114393939394	0.0
ENST00000387347.2:Mt_rRNA:MT-RNR2-201	571	1481	930.9095238095246	0.0
ENST00000364950.1:misc_RNA:Y_RNA.324-201	57	991	926.8401875901876	0.0
ENST00000365142.1:misc_RNA:RNY4P15-201	92	980	857.382971693076	0.0
ENST00000383925.1:snRNA:RNU1-1-201	1544	10283	840.939278155625	0.0
ENST00000384659.1:snRNA:RNU1-4-201	1544	10283	840.939278155625	0.0
ENST00000383869.1:snRNA:RNU1-27P-201	1544	10283	840.939278155625	0.0
ENST00000384010.1:snRNA:RNVU1-18-201	1544	10283	840.939278155625	0.0
ENST00000384782.1:snRNA:RNU1-3-201	1544	10283	840.939278155625	0.0
ENST00000383861.1:snRNA:RNU1-28P-201	1544	10283	840.939278155625	0.0
ENST00000384278.1:snRNA:RNU1-2-201	1544	10283	840.939278155625	0.0
ENST00000363735.1:misc_RNA:Y_RNA.179-201	72	1852	840.2918909592823	0.0
ENST00000361681.2:protein_coding:MT-ND6-201	272	1234	839.8333333333335	0.0
