ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa_circ_000486	22	89	44.5	0.0
hsa_circ_000487	22	89	44.5	0.0
circRNA#circRNA_907	1	2	2.0	0.0
hsa_circ_000153	2	2	2.0	0.0
hsa_circ_000713	1	1	1.0	0.0
hsa_circ_000662	1	1	1.0	0.0
hsa_circ_000256	1	1	1.0	0.0
hsa_circ_000109	1	1	1.0	0.0
hsa_circ_001228	1	1	1.0	0.0
circRNA#circRNA_1754	1	1	1.0	0.0
hsa_circ_001846	1	1	1.0	0.0
hsa_circ_001603	1	1	1.0	0.0
hsa_circ_000968	1	1	1.0	0.0
circRNA#circRNA_4919	1	1	1.0	0.0
circRNA#circRNA_3889	1	1	1.0	0.0
hsa_circ_001295	1	1	0.5	0.0
circRNA#circRNA_1215	1	1	0.5	0.0
