ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
ENST00000361681.2:protein_coding:MT-ND6-201	2609	5120	4247.333333333339	0.0
ENST00000367627.3:protein_coding:TOR3A-001	72	2807	2807.0	0.0
ENST00000265634.3:protein_coding:NPTX2-001	97	2555	2537.6666666666665	0.0
ENST00000361567.2:protein_coding:MT-ND5-201	2111	2825	2373.955952380953	0.0
ENST00000387461.2:Mt_tRNA:MT-TP-201	257	1161	1161.0	0.0
ENST00000361739.1:protein_coding:MT-CO2-201	512	1220	1079.8333333333333	0.0
ENST00000362079.2:protein_coding:MT-CO3-201	706	1735	1006.2833333333339	0.0
ENST00000361453.3:protein_coding:MT-ND2-201	836	1815	925.8333333333334	0.0
ENST00000361789.2:protein_coding:MT-CYB-201	821	1011	908.3107142857143	0.0
ENST00000457540.1:unprocessed_pseudogene:MTND2P28-001	801	1778	888.8333333333334	0.0
ENST00000361381.2:protein_coding:MT-ND4-201	837	1001	739.0416666666671	0.0
ENST00000416718.2:unprocessed_pseudogene:RP5-857K21.11-001	430	1390	679.2000000000003	0.0
ENST00000506002.1:processed_pseudogene:MTND6P4-001	718	1402	606.1666666666665	0.0
ENST00000361624.2:protein_coding:MT-CO1-201	649	1169	574.9595238095244	0.0
ENST00000569858.1:antisense:RP11-72I8.1-001	125	541	541.0	0.0
ENST00000442944.2:protein_coding:HMBS-025	29	532	525.6583333333334	0.0
ENST00000414273.1:unprocessed_pseudogene:hsa-mir-6723.1-001	568	1082	510.9595238095236	0.0
ENST00000387347.2:Mt_rRNA:MT-RNR2-201	464	689	500.695238095238	0.0
ENST00000290894.8:protein_coding:SHF-001	57	476	474.7	0.0
ENST00000467525.1:nonsense_mediated_decay:FCGR2A-018	140	474	469.0	0.0
ENST00000431156.2:protein_coding:TTI2-001	230	469	468.25	0.0
ENST00000387460.2:Mt_tRNA:MT-TT-201	188	465	465.0	0.0
ENST00000387392.1:Mt_tRNA:MT-TA-201	164	454	454.0	0.0
ENST00000361390.2:protein_coding:MT-ND1-201	421	518	443.325	0.0
ENST00000361335.1:protein_coding:MT-ND4L-201	227	400	389.74999999999994	0.0
ENST00000511037.1:processed_pseudogene:MTND5P11-001	574	745	367.0095238095237	0.0
ENST00000387459.1:Mt_tRNA:MT-TE-201	182	357	357.0	0.0
ENST00000387416.2:Mt_tRNA:MT-TS1-201	65	337	337.0	0.0
ENST00000526028.1:protein_coding:HYLS1-003	41	289	288.1666666666667	0.0
ENST00000597346.1:antisense:KCNQ1OT1-001	426	481	272.64130591630584	0.0
ENST00000444624.1:antisense:RP5-998N21.7-002	85	263	261.0	0.0
ENST00000361227.2:protein_coding:MT-ND3-201	240	273	261.0	0.0
ENST00000607520.1:retained_intron:SCARNA15-001	32	261	260.25	0.0
ENST00000361899.2:protein_coding:MT-ATP6-201	301	375	236.2500000000001	0.0
ENST00000395715.3:protein_coding:TRPS1-001	39	249	231.0	0.0
ENST00000387372.1:Mt_tRNA:MT-TQ-201	67	230	230.0	0.0
ENST00000416982.1:lincRNA:AC073236.3-001	59	579	213.50000000000003	0.0
ENST00000520612.1:processed_pseudogene:MTND6P3-001	334	713	208.0833333333335	0.0
ENST00000453187.1:lincRNA:AC073236.3-002	48	566	201.50000000000003	0.0
ENST00000498999.2:processed_pseudogene:MTND4P12-001	315	382	199.6666666666667	0.0
ENST00000581869.1:processed_transcript:ZNF521-014	19	222	196.0	0.0
ENST00000601070.1:protein_coding:ZIM2-004	31	1257	179.47374847374843	0.0
