ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-let-7b:MI0000063:Homo:sapiens:let-7b:stem-loop	23	240	237.75	0.0
hsa-let-7a-1:MI0000060:Homo:sapiens:let-7a-1:stem-loop	3	50	24.416666666666668	0.0
hsa-let-7a-3:MI0000062:Homo:sapiens:let-7a-3:stem-loop	3	50	24.416666666666668	0.0
hsa-let-7f-1:MI0000067:Homo:sapiens:let-7f-1:stem-loop	5	17	14.916666666666666	0.0
hsa-mir-4708:MI0017341:Homo:sapiens:miR-4708:stem-loop	7	8	8.0	0.0
hsa-mir-549a:MI0003679:Homo:sapiens:miR-549:stem-loop	6	7	7.0	0.0
hsa-mir-629:MI0003643:Homo:sapiens:miR-629:stem-loop	3	5	5.0	0.0
hsa-mir-3169:MI0014200:Homo:sapiens:miR-3169:stem-loop	2	4	4.0	0.0
hsa-mir-98:MI0000100:Homo:sapiens:miR-98:stem-loop	4	5	3.5	0.0
hsa-mir-219a-1:MI0000296:Homo:sapiens:miR-219a-1:stem-loop	3	3	3.0	0.0
hsa-mir-324:MI0000813:Homo:sapiens:miR-324:stem-loop	2	2	2.0	0.0
hsa-mir-5702:MI0019309:Homo:sapiens:miR-5702:stem-loop	2	2	2.0	0.0
hsa-let-7d:MI0000065:Homo:sapiens:let-7d:stem-loop	2	2	2.0	0.0
hsa-mir-181a-2:MI0000269:Homo:sapiens:miR-181a-2:stem-loop	2	2	2.0	0.0
hsa-mir-708:MI0005543:Homo:sapiens:miR-708:stem-loop	2	2	2.0	0.0
hsa-mir-1285-2:MI0006347:Homo:sapiens:miR-1285-2:stem-loop	1	1	1.0	0.0
hsa-mir-374a:MI0000782:Homo:sapiens:miR-374a:stem-loop	1	1	1.0	0.0
hsa-mir-548q:MI0010637:Homo:sapiens:miR-548q:stem-loop	1	1	1.0	0.0
hsa-mir-5684:MI0019285:Homo:sapiens:miR-5684:stem-loop	1	1	1.0	0.0
hsa-mir-4797:MI0017444:Homo:sapiens:miR-4797:stem-loop	1	1	1.0	0.0
hsa-mir-3922:MI0016429:Homo:sapiens:miR-3922:stem-loop	1	1	1.0	0.0
hsa-mir-3925:MI0016433:Homo:sapiens:miR-3925:stem-loop	1	1	1.0	0.0
hsa-mir-4698:MI0017331:Homo:sapiens:miR-4698:stem-loop	1	1	1.0	0.0
hsa-mir-4804:MI0017452:Homo:sapiens:miR-4804:stem-loop	1	1	1.0	0.0
hsa-mir-5692c-2:MI0019289:Homo:sapiens:miR-5692c-2:stem-loop	1	1	1.0	0.0
hsa-mir-328:MI0000804:Homo:sapiens:miR-328:stem-loop	1	1	1.0	0.0
hsa-mir-2116:MI0010635:Homo:sapiens:miR-2116:stem-loop	1	1	1.0	0.0
hsa-mir-2115:MI0010634:Homo:sapiens:miR-2115:stem-loop	1	1	1.0	0.0
hsa-mir-5188:MI0018167:Homo:sapiens:miR-5188:stem-loop	1	1	1.0	0.0
hsa-mir-5580:MI0019135:Homo:sapiens:miR-5580:stem-loop	1	1	1.0	0.0
hsa-mir-199a-1:MI0000242:Homo:sapiens:miR-199a-1:stem-loop	1	2	0.6666666666666666	0.0
hsa-mir-199a-2:MI0000281:Homo:sapiens:miR-199a-2:stem-loop	1	2	0.6666666666666666	0.0
hsa-mir-199b:MI0000282:Homo:sapiens:miR-199b:stem-loop	1	2	0.6666666666666666	0.0
hsa-mir-4444-2:MI0019111:Homo:sapiens:miR-4444-2:stem-loop	1	1	0.5	0.0
hsa-mir-133a-2:MI0000451:Homo:sapiens:miR-133a-2:stem-loop	1	1	0.5	0.0
hsa-mir-133a-1:MI0000450:Homo:sapiens:miR-133a-1:stem-loop	1	1	0.5	0.0
hsa-mir-4444-1:MI0016787:Homo:sapiens:miR-4444-1:stem-loop	1	1	0.5	0.0
